# Известные битые относительные ссылки в markdown.
# Перезаписывается `python scripts/check_doc_links.py --update`.
# Новая ссылка, которой здесь нет, роняет гейт; починенную --update уберёт.
# файл	цель	класс	где цель на самом деле
.claude/agents/css-rust-architect.md	file.md	missing	
BUGS-FIXED.md	bugs/BUG-1057-OPEN.md	stale-status-suffix	bugs/BUG-1057-FIXED.md
BUGS-FIXED.md	bugs/BUG-250-FIXED.md	missing	
BUGS-FIXED.md	bugs/BUG-384-OPEN.md	stale-status-suffix	bugs/BUG-384-FIXED.md
BUGS-FIXED.md	bugs/BUG-444-OPEN.md	stale-status-suffix	bugs/BUG-444-FIXED.md
BUGS-FIXED.md	bugs/BUG-452-OPEN.md	stale-status-suffix	bugs/BUG-452-FIXED.md
BUGS-FIXED.md	bugs/BUG-456-OPEN.md	stale-status-suffix	bugs/BUG-456-FIXED.md
BUGS-FIXED.md	bugs/BUG-459-OPEN.md	stale-status-suffix	bugs/BUG-459-FIXED.md
BUGS-FIXED.md	bugs/BUG-460-OPEN.md	stale-status-suffix	bugs/BUG-460-FIXED.md
BUGS-FIXED.md	bugs/BUG-464-OPEN.md	stale-status-suffix	bugs/BUG-464-FIXED.md
BUGS-FIXED.md	bugs/BUG-477-OPEN.md	stale-status-suffix	bugs/BUG-477-DUPLICATE.md
BUGS-FIXED.md	bugs/BUG-479-OPEN.md	stale-status-suffix	bugs/BUG-479-FIXED.md
BUGS-FIXED.md	bugs/BUG-504-OPEN.md	stale-status-suffix	bugs/BUG-504-FIXED.md
BUGS-FIXED.md	bugs/BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
BUGS-FIXED.md	bugs/BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
BUGS-FIXED.md	bugs/BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
BUGS-FIXED.md	bugs/BUG-704-OPEN.md	stale-status-suffix	bugs/BUG-704-FIXED.md
BUGS-FIXED.md	bugs/BUG-715-OPEN.md	stale-status-suffix	bugs/BUG-715-FIXED.md
BUGS-FIXED.md	bugs/BUG-740-OPEN.md	stale-status-suffix	bugs/BUG-740-FIXED.md
BUGS-FIXED.md	bugs/BUG-786-OPEN.md	stale-status-suffix	bugs/BUG-786-FIXED.md
BUGS-FIXED.md	bugs/BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
BUGS-FIXED.md	bugs/BUG-905-OPEN.md	stale-status-suffix	bugs/BUG-905-FIXED.md
BUGS-FIXED.md	bugs/BUG-921-OPEN.md	stale-status-suffix	bugs/BUG-921-FIXED.md
BUGS-FIXED.md	bugs/BUG-929-OPEN.md	stale-status-suffix	bugs/BUG-929-FIXED.md
BUGS-FIXED.md	bugs/BUG-932-OPEN.md	stale-status-suffix	bugs/BUG-932-FIXED.md
BUGS-FIXED.md	bugs/BUG-975-OPEN.md	stale-status-suffix	bugs/BUG-975-FIXED.md
BUGS-FIXED.md	bugs/BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
BUGS.md	bugs/BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
BUGS.md	bugs/BUG-504-OPEN.md	stale-status-suffix	bugs/BUG-504-FIXED.md
BUGS.md	bugs/BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
BUGS.md	bugs/BUG-606-OPEN.md	stale-status-suffix	bugs/BUG-606-FIXED.md
BUGS.md	bugs/BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
BUGS.md	bugs/BUG-723-OPEN.md	stale-status-suffix	bugs/BUG-723-FIXED.md
BUGS.md	bugs/BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
CAPABILITIES.md	bugs/BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
CAPABILITIES.md	bugs/BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
CAPABILITIES.md	bugs/BUG-699-OPEN.md	stale-status-suffix	bugs/BUG-699-FIXED.md
CAPABILITIES.md	bugs/BUG-744-OPEN.md	stale-status-suffix	bugs/BUG-744-FIXED.md
CAPABILITIES.md	bugs/BUG-752-OPEN.md	stale-status-suffix	bugs/BUG-752-FIXED.md
CAPABILITIES.md	bugs/BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
CSS-SPECS.md	../bugs/BUG-1009-FIXED.md	wrong-relative-path	bugs/BUG-1009-FIXED.md
CSS-SPECS.md	../bugs/BUG-897-OPEN.md	wrong-relative-path	bugs/BUG-897-OPEN.md
ROADMAP.md	bugs/BUG-1026-OPEN.md	stale-status-suffix	bugs/BUG-1026-FIXED.md
ROADMAP.md	bugs/BUG-462-OPEN.md	stale-status-suffix	bugs/BUG-462-FIXED.md
ROADMAP.md	bugs/BUG-464-OPEN.md	stale-status-suffix	bugs/BUG-464-FIXED.md
ROADMAP.md	bugs/BUG-477-OPEN.md	stale-status-suffix	bugs/BUG-477-DUPLICATE.md
ROADMAP.md	bugs/BUG-481-OPEN.md	stale-status-suffix	bugs/BUG-481-FIXED.md
ROADMAP.md	bugs/BUG-482-OPEN.md	stale-status-suffix	bugs/BUG-482-FIXED.md
ROADMAP.md	bugs/BUG-483-OPEN.md	stale-status-suffix	bugs/BUG-483-FIXED.md
ROADMAP.md	bugs/BUG-487-OPEN.md	stale-status-suffix	bugs/BUG-487-FIXED.md
ROADMAP.md	bugs/BUG-499-OPEN.md	stale-status-suffix	bugs/BUG-499-FIXED.md
ROADMAP.md	bugs/BUG-501-OPEN.md	stale-status-suffix	bugs/BUG-501-FIXED.md
ROADMAP.md	bugs/BUG-502-OPEN.md	stale-status-suffix	bugs/BUG-502-FIXED.md
ROADMAP.md	bugs/BUG-504-OPEN.md	stale-status-suffix	bugs/BUG-504-FIXED.md
ROADMAP.md	bugs/BUG-525-OPEN.md	stale-status-suffix	bugs/BUG-525-FIXED.md
ROADMAP.md	bugs/BUG-529-OPEN.md	stale-status-suffix	bugs/BUG-529-FIXED.md
ROADMAP.md	bugs/BUG-537-OPEN.md	stale-status-suffix	bugs/BUG-537-FIXED.md
ROADMAP.md	bugs/BUG-539-OPEN.md	stale-status-suffix	bugs/BUG-539-FIXED.md
ROADMAP.md	bugs/BUG-552-OPEN.md	stale-status-suffix	bugs/BUG-552-DUPLICATE.md
ROADMAP.md	bugs/BUG-569-OPEN.md	stale-status-suffix	bugs/BUG-569-FIXED.md
ROADMAP.md	bugs/BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
ROADMAP.md	bugs/BUG-575-OPEN.md	stale-status-suffix	bugs/BUG-575-FIXED.md
ROADMAP.md	bugs/BUG-576-OPEN.md	stale-status-suffix	bugs/BUG-576-FIXED.md
ROADMAP.md	bugs/BUG-594-OPEN.md	stale-status-suffix	bugs/BUG-594-FIXED.md
ROADMAP.md	bugs/BUG-596-OPEN.md	stale-status-suffix	bugs/BUG-596-FIXED.md
ROADMAP.md	bugs/BUG-598-OPEN.md	stale-status-suffix	bugs/BUG-598-FIXED.md
ROADMAP.md	bugs/BUG-602-OPEN.md	stale-status-suffix	bugs/BUG-602-FIXED.md
ROADMAP.md	bugs/BUG-605-OPEN.md	stale-status-suffix	bugs/BUG-605-FIXED.md
ROADMAP.md	bugs/BUG-606-OPEN.md	stale-status-suffix	bugs/BUG-606-FIXED.md
ROADMAP.md	bugs/BUG-616-OPEN.md	stale-status-suffix	bugs/BUG-616-FIXED.md
ROADMAP.md	bugs/BUG-617-OPEN.md	stale-status-suffix	bugs/BUG-617-FIXED.md
ROADMAP.md	bugs/BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
ROADMAP.md	bugs/BUG-699-OPEN.md	stale-status-suffix	bugs/BUG-699-FIXED.md
ROADMAP.md	bugs/BUG-712-OPEN.md	stale-status-suffix	bugs/BUG-712-FIXED.md
ROADMAP.md	bugs/BUG-713-OPEN.md	stale-status-suffix	bugs/BUG-713-FIXED.md
ROADMAP.md	bugs/BUG-719-OPEN.md	stale-status-suffix	bugs/BUG-719-FIXED.md
ROADMAP.md	bugs/BUG-786-OPEN.md	stale-status-suffix	bugs/BUG-786-FIXED.md
ROADMAP.md	bugs/BUG-803-OPEN.md	stale-status-suffix	bugs/BUG-803-FIXED.md
ROADMAP.md	bugs/BUG-806-OPEN.md	stale-status-suffix	bugs/BUG-806-FIXED.md
ROADMAP.md	bugs/BUG-850-OPEN.md	stale-status-suffix	bugs/BUG-850-FIXED.md
ROADMAP.md	bugs/BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
ROADMAP.md	bugs/BUG-889-OPEN.md	stale-status-suffix	bugs/BUG-889-FIXED.md
ROADMAP.md	bugs/BUG-895-OPEN.md	stale-status-suffix	bugs/BUG-895-FIXED.md
ROADMAP.md	bugs/BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
ROADMAP.md	docs/tasks/p2-wpt-status-sync.md	missing	
bugs/BUG-1009-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1013-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1015-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1017-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-1023-FIXED.md	BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
bugs/BUG-1035-OPEN.md	BUG-1034-OPEN.md	stale-status-suffix	bugs/BUG-1034-FIXED.md
bugs/BUG-237-OPEN.md	BUG-199-OPEN.md	stale-status-suffix	bugs/BUG-199-FIXED.md
bugs/BUG-277-FIXED.md	BUG-247-OPEN.md	missing	
bugs/BUG-277-FIXED.md	BUG-249-FIXED.md	missing	
bugs/BUG-277-FIXED.md	BUG-635-OPEN.md	stale-status-suffix	bugs/BUG-635-FIXED.md
bugs/BUG-300-FIXED.md	BUG-301-OPEN.md	stale-status-suffix	bugs/BUG-301-FIXED.md
bugs/BUG-301-FIXED.md	BUG-309-OPEN.md	stale-status-suffix	bugs/BUG-309-FIXED.md
bugs/BUG-303-FIXED.md	BUG-459-OPEN.md	stale-status-suffix	bugs/BUG-459-FIXED.md
bugs/BUG-306-OPEN.md	BUG-307-OPEN.md	stale-status-suffix	bugs/BUG-307-FIXED.md
bugs/BUG-310-FIXED.md	BUG-302-OPEN.md	stale-status-suffix	bugs/BUG-302-FIXED.md
bugs/BUG-314-FIXED.md	BUG-305-OPEN.md	stale-status-suffix	bugs/BUG-305-FIXED.md
bugs/BUG-315-FIXED.md	BUG-309-OPEN.md	stale-status-suffix	bugs/BUG-309-FIXED.md
bugs/BUG-315-FIXED.md	BUG-310-OPEN.md	stale-status-suffix	bugs/BUG-310-FIXED.md
bugs/BUG-316-FIXED.md	BUG-297-OPEN.md	stale-status-suffix	bugs/BUG-297-FIXED.md
bugs/BUG-316-FIXED.md	BUG-311-OPEN.md	stale-status-suffix	bugs/BUG-311-FIXED.md
bugs/BUG-317-FIXED.md	BUG-318-OPEN.md	stale-status-suffix	bugs/BUG-318-FIXED.md
bugs/BUG-341-OPEN.md	BUG-349-OPEN.md	stale-status-suffix	bugs/BUG-349-FIXED.md
bugs/BUG-347-FIXED.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-348-FIXED.md	BUG-428-OPEN.md	stale-status-suffix	bugs/BUG-428-FIXED.md
bugs/BUG-367-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-368-FIXED.md	BUG-351-OPEN.md	stale-status-suffix	bugs/BUG-351-FIXED.md
bugs/BUG-368-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-381-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
bugs/BUG-382-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-383-FIXED.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-383-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-384-FIXED.md	BUG-499-OPEN.md	stale-status-suffix	bugs/BUG-499-FIXED.md
bugs/BUG-405-FIXED.md	bugs/BUG-934-OPEN.md	wrong-relative-path	bugs/BUG-934-OPEN.md
bugs/BUG-406-OPEN.md	BUG-274-OPEN.md	stale-status-suffix	bugs/BUG-274-FIXED.md
bugs/BUG-412-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-413-FIXED.md	BUG-368-OPEN.md	stale-status-suffix	bugs/BUG-368-FIXED.md
bugs/BUG-413-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-415-FIXED.md	BUG-358-OPEN.md	stale-status-suffix	bugs/BUG-358-FIXED.md
bugs/BUG-416-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-418-FIXED.md	BUG-348-OPEN.md	stale-status-suffix	bugs/BUG-348-FIXED.md
bugs/BUG-420-FIXED.md	BUG-421-OPEN.md	stale-status-suffix	bugs/BUG-421-FIXED.md
bugs/BUG-423-FIXED.md	BUG-427-OPEN.md	stale-status-suffix	bugs/BUG-427-FIXED.md
bugs/BUG-425-FIXED.md	BUG-460-OPEN.md	stale-status-suffix	bugs/BUG-460-FIXED.md
bugs/BUG-426-FIXED.md	BUG-421-OPEN.md	stale-status-suffix	bugs/BUG-421-FIXED.md
bugs/BUG-426-FIXED.md	BUG-422-OPEN.md	stale-status-suffix	bugs/BUG-422-FIXED.md
bugs/BUG-428-FIXED.md	BUG-429-OPEN.md	stale-status-suffix	bugs/BUG-429-FIXED.md
bugs/BUG-437-FIXED.md	BUG-381-OPEN.md	stale-status-suffix	bugs/BUG-381-FIXED.md
bugs/BUG-437-FIXED.md	BUG-383-OPEN.md	stale-status-suffix	bugs/BUG-383-FIXED.md
